INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
CENTRAL AND BELMONT,1604.0,5600 W BELMONT AVENUE,06/17/2018,7,1138453.617438343,1920755.972768412,41.938683775,-87.766562494,"(41.93868377475747, -87.76656249384537)"
71ST AND ASHLAND,2391.0,7100 S ASHLAND,06/17/2018,6,1166868.379865725,1857616.168087255,41.764859382,-87.663940176,"(41.764859382425385, -87.66394017630476)"
WESTERN AND FULLERTON,1671.0,2400 N WESTERN AVENUE,06/17/2018,10,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)"
PULASKI AND 79TH,2494.0,4000 W 79TH STREET,06/17/2018,1,1151074.116357501,1851966.830243835,41.749679359,-87.721978345,"(41.74967935883473, -87.72197834524168)"
SACRAMENTO AND CHICAGO,1814.0,3000 W CHICAGO AVENUE,06/17/2018,13,1156075.266375505,1905216.6047707181,41.895704525,-87.702218524,"(41.895704524946225, -87.70221852353758)"
CICERO AND PETERSON,1202.0,6000 N CICERO AVENUE,06/17/2018,8,1143247.733553094,1939479.3429057042,41.989973915,-87.74847302399999,"(41.98997391514614, -87.74847302426933)"
TOUHY AND OSCEOLA,1244.0,7432 W TOUHY AVENUE,06/17/2018,1,1125717.010560011,1947269.685461107,42.011661765,-87.812781431,"(42.01166176507329, -87.81278143114147)"
HARLEM AND BELMONT,1394.0,7200 W BELMONT AVE,06/17/2018,3,1127504.698153561,1920475.4154408441,41.938105479,-87.806809552,"(41.93810547939496, -87.80680955240743)"
CICERO AND DIVERSEY,1691.0,2800 N CICERO AVENUE,06/17/2018,4,1143863.647574835,1918202.0184634142,41.931575608,-87.74674330100001,"(41.93157560844622, -87.74674330113561)"
ASHLAND AND 95TH,2472.0,9500 S ASHLAND AVENUE,06/17/2018,10,1167295.830128711,1841695.121217916,41.721160612,-87.662828139,"(41.72116061205213, -87.66282813939165)"
PULASKI AND NORTH,1992.0,1600 N PULASKI AVENUE,06/17/2018,3,1149432.959240306,1910369.112502195,41.90997501,-87.72648052299999,"(41.909975010236906, -87.72648052306623)"
WESTERN AND NORTH,1853.0,2400 W NORTH AVE,06/17/2018,2,1160100.839010995,1910612.7833672382,41.910429862,-87.687284221,"(41.91042986235867, -87.68728422050837)"
35TH AND WESTERN,2092.0,3500 S WESTERN,06/17/2018,7,1160894.9498571008,1881376.851112895,41.830187255,-87.685177925,"(41.83018725526863, -87.68517792510231)"
ASHLAND AND LAWRENCE,1143.0,1600 W LAWRENCE AVENUE,06/17/2018,2,1164771.946929007,1931988.254061312,41.968987457,-87.66951630700001,"(41.96898745654617, -87.66951630654926)"
PULASKI AND FULLERTON,1481.0,2400 N PULASKI RD,06/17/2018,5,1149275.963864089,1915687.6319317569,41.924572574,-87.726919111,"(41.92457257416937, -87.72691911144182)"
KEDZIE AND 47TH,2104.0,3200 W 47TH ST,06/17/2018,2,1155815.231505056,1873336.169728074,41.808226246,-87.70403167200001,"(41.808226246244026, -87.70403167215984)"
79TH AND KEDZIE,2443.0,3200 W 79TH ST,06/17/2018,8,1156402.644780165,1852104.6493709842,41.749952001,-87.702448478,"(41.74995200142266, -87.70244847808695)"
CENTRAL AND DIVERSEY,1642.0,2800 N CENTRAL AVENUE,06/17/2018,3,1138516.407377375,1918089.499227987,41.931365551999995,-87.76639652899999,"(41.93136555236339, -87.76639652879172)"
KIMBALL AND DIVERSEY,1581.0,2800 N KIMBALL AVENUE,06/17/2018,7,,,,,
SHERIDAN AND FOSTER,1132.0,5200 N SHERIDAN ROAD,06/17/2018,2,1168661.6237182291,1934753.842272756,41.976492721,-87.655133605,"(41.97649272077833, -87.65513360456677)"
PULASKI AND 63RD,2343.0,4000 W 63RD ST,06/17/2018,3,1150768.346768175,1862564.615405259,41.77876739,-87.722823195,"(41.778767390084305, -87.72282319530368)"
CENTRAL AND BELMONT,1602.0,3200 N CENTRAL AVENUE,06/17/2018,1,1138430.432324593,1920731.654410336,41.938617463,-87.766648297,"(41.938617463272884, -87.76664829683827)"
119TH AND HALSTED,2402.0,11900 S HALSTED,06/17/2018,10,1173094.774616191,1825911.054609338,41.677720829,-87.642051845,"(41.67772082924762, -87.64205184498218)"
CENTRAL AND LAKE,1742.0,400 N CENTRAL AVENUE,06/17/2018,6,1138928.4782575371,1902217.926149854,41.887804621,-87.765268498,"(41.88780462053497, -87.76526849810371)"
HOMAN/KIMBALL AND NORTH,1771.0,1600 N HOMAN AVENUE,06/17/2018,3,,,,,
87TH AND VINCENNES,2412.0,8700 S VINCENNES,06/17/2018,24,1172026.328989535,1847142.4966437758,41.736006565,-87.645341819,"(41.73600656458518, -87.64534181897955)"
TOUHY AND OSCEOLA,1243.0,7432 W TOUHY AVENUE,06/17/2018,1,1125717.010560011,1947269.685461107,42.011661765,-87.812781431,"(42.01166176507329, -87.81278143114147)"
ASHLAND AND MADISON,1911.0,0 N ASHLAND AVE,06/17/2018,3,,,,,
PULASKI AND BELMONT,1382.0,3200 N PULASKI RD,06/17/2018,4,1149125.621478734,1920994.556178086,41.939138154,-87.72733371,"(41.939138153500274, -87.7273337101426)"
STATE AND 79TH,2654.0,1 E 79TH STREET,06/17/2018,50,1177680.113652821,1852598.313477786,41.750852095999996,-87.624463832,"(41.75085209551078, -87.62446383210285)"
WESTERN AND 63RD,2371.0,6300 S WESTERN AVE,06/17/2018,1,1161415.712688877,1862772.38856596,41.779123484,-87.683783099,"(41.77912348383963, -87.68378309863576)"
75TH AND STATE,2621.0,7500 S STATE STREET,06/17/2018,17,1177538.763040612,1855235.551345519,41.758092176,-87.624902228,"(41.75809217638291, -87.6249022282473)"
WESTERN AND DEVON,1211.0,6400 N WESTERN AVENUE,06/17/2018,3,1159113.5857594342,1942451.622367891,41.997817807,-87.690033035,"(41.997817807026, -87.69003303469276)"
STONEY ISLAND AND 76TH,2631.0,7600 S STONY ISLAND A,06/17/2018,24,1188092.796191935,1854889.3541583042,41.756897173,-87.586234285,"(41.75689717260223, -87.58623428506996)"
BROADWAY/SHERIDAN AND DEVON,1123.0,1200 W DEVON AVE,06/17/2018,4,1167109.644248166,1942688.147952186,41.998298228,-87.660611661,"(41.99829822771884, -87.66061166063517)"
SACRAMENTO AND LAKE,1821.0,150 N SACRAMENTO BOUL,06/17/2018,4,1156319.560664766,1900957.4893519618,41.884012178,-87.701436479,"(41.88401217771363, -87.7014364786693)"
CALIFORNIA AND PETERSON,1313.0,2800 W PETERSON AVENUE,06/17/2018,3,1156569.515341857,1939784.830544118,41.990552082,-87.69946439600001,"(41.990552081681564, -87.69946439622785)"
STATE AND 79TH,2651.0,7900 S STATE STREET,06/17/2018,9,1177618.1669299658,1852621.8702328382,41.750918138,-87.624690123,"(41.7509181383154, -87.62469012251644)"
ARCHER AND CICERO,2084.0,5400 S ARCHER AVE,06/17/2018,10,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)"
PULASKI AND ARMITAGE,1843.0,4000 W ARMITAGE AVENUE,06/17/2018,5,1149375.428872108,1913028.9842731808,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
HAMLIN AND MADISON,1901.0,0 N HAMLIN BOULEVARD,06/17/2018,12,,,,,
STONEY ISLAND AND 79TH,2461.0,7900 S SOUTH CHICAGO AVE,06/17/2018,1,1188274.655498937,1852865.6857978918,41.751339705,-87.585632266,"(41.751339704589455, -87.58563226565187)"
LAKE SHORE DR AND BELMONT,1412.0,3200 N LAKESHORE DRIV,06/17/2018,8,1173053.220555078,1921821.380831705,41.940909163,-87.63936916,"(41.94090916326764, -87.63936915995522)"
CLARK AND IRVING PARK,1091.0,4000 N CLARK STREET,06/17/2018,7,1166736.149822904,1926699.3236247092,41.954432441,-87.66244625899999,"(41.95443244141688, -87.66244625914061)"
LAWRENCE AND WESTERN,1193.0,2400 W LAWRENCE AVENUE,06/17/2018,7,1159482.648570304,1931851.989492596,41.968724349,-87.688968727,"(41.96872434882172, -87.68896872699601)"
KEDZIE AND 31ST,2132.0,3100 S KEDZIE AVENUE,06/17/2018,9,1155483.167539854,1883867.660503274,41.837132671,-87.704967115,"(41.837132671422296, -87.70496711478727)"
WESTERN AND 63RD,2373.0,2400 W 63RD ST,06/17/2018,3,1161444.4157585842,1862848.5347036582,41.779331844,-87.683675761,"(41.77933184429814, -87.68367576084798)"
RIDGE AND CLARK,1052.0,5930 N CLARK STREET,06/17/2018,1,1164554.784723473,1939388.5115164418,41.98929863,-87.67010412100001,"(41.98929863013193, -87.67010412112992)"
FOSTER AND NORTHWEST HIGHWAY,3003.0,5616 W FOSTER AVE,06/17/2018,6,1137626.093281239,1934273.239128334,41.97579142,-87.769276893,"(41.975791419680704, -87.76927689293382)"
KOSTNER AND NORTH,2012.0,4400 W GRAND AVE,06/17/2018,11,1146773.519128439,1910425.663958581,41.91018141,-87.73624887,"(41.910181409597406, -87.73624887040725)"
75TH AND STATE,2624.0,1 E 75TH STREET,06/17/2018,23,1177601.72646404,1855229.486604181,41.758074111,-87.624671658,"(41.75807411097799, -87.62467165835182)"
PULASKI AND ARCHER,2154.0,5000 S ARCHER AVE,06/17/2018,2,1150501.818909837,1871162.311703322,41.802365973,-87.72357676600001,"(41.80236597333895, -87.72357676611004)"
ELSTON AND IRVING PARK,1502.0,4000 N ELSTON AVENUE,06/17/2018,2,1151273.9748281979,1926311.849469842,41.953687265999996,-87.719297882,"(41.95368726563273, -87.71929788151473)"
PULASKI AND DIVERSEY,1543.0,4000 W DIVERSEY AVENUE,06/17/2018,2,1149206.496130705,1918356.569267582,41.931897723,-87.72710503,"(41.9318977231462, -87.72710503045386)"
ROOSEVELT AND HALSTED,2234.0,800 W ROOSEVELT ROAD,06/17/2018,16,1171199.282357741,1894968.0563937242,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)"
CANAL AND ROOSEVELT,2291.0,1200 S CANAL STREET,06/17/2018,16,1173268.771030949,1894952.6348787318,41.867175125,-87.63937581299999,"(41.86717512472001, -87.63937581258092)"
PULASKI AND NORTH,1994.0,4000 W NORTH AVENUE,06/17/2018,5,1149456.2688421998,1910376.774019002,41.909995582,-87.72639469299999,"(41.90999558160536, -87.72639469321471)"
HALSTED AND FULLERTON,1701.0,2400 N HALSTED STREET,06/17/2018,2,1170501.602639925,1916200.061550148,41.925540315,-87.64891215600001,"(41.925540315431995, -87.64891215551155)"
ROOSEVELT AND KOSTNER,2321.0,1200 S KOSTNER,06/17/2018,10,1147196.304001978,1894305.8832697459,41.865938839,-87.735108549,"(41.8659388389088, -87.73510854901264)"
BELMONT AND KEDZIE,1373.0,3200 W BELMONT,06/17/2018,5,1154461.587940363,1921143.091003516,41.939440561,-87.707718516,"(41.93944056117365, -87.70771851630873)"
KOSTNER AND NORTH,2011.0,1600 N KOSTNER,06/17/2018,2,1146732.108679105,1910282.120990798,41.909788304,-87.736404667,"(41.90978830394343, -87.73640466739216)"
MILWAUKEE AND MONTROSE,1362.0,4400 N MILWAUKEE AVEN,06/17/2018,3,1141643.943268783,1928770.256316239,41.96061723,-87.75463824,"(41.9606172296957, -87.75463824007085)"
DIVISION AND DAMEN,1734.0,2000 W DIVISION,06/17/2018,8,1162815.7108601942,1908034.672555531,41.903298793000005,-87.67738324700001,"(41.903298792681944, -87.67738324739636)"
CALIFORNIA AND DIVERSEY,1514.0,2800 W DIVERSEY,06/17/2018,34,1157212.54253358,1918526.6744349431,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)"
CLARK AND IRVING PARK,1093.0,1300 W IRVING PARK ROAD,06/17/2018,11,1166777.545456989,1926719.73687357,41.954487567,-87.662293496,"(41.95448756687966, -87.66229349585691)"
HALSTED AND FULLERTON,1704.0,800 W FULLERTON AVENUE,06/17/2018,1,1170525.624723311,1916208.4439927782,41.925562791,-87.648823641,"(41.92556279107417, -87.64882364145232)"
HAMLIN AND LAKE,1882.0,300 N HAMLIN AVENUE,06/17/2018,5,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
CICERO AND HARRISON,2022.0,600 S CICERO AVENUE,06/17/2018,11,1144444.97442848,1896894.622216872,41.873094833,-87.745143869,"(41.873094832519136, -87.74514386884542)"
COTTAGE GROVE AND 71ST,2571.0,7100 S COTTAGE GROVE,06/17/2018,7,1182746.23698699,1858088.011064538,41.765800350999996,-87.605729127,"(41.76580035131893, -87.6057291269901)"
OGDEN AND KOSTNER,2223.0,4400 W OGDEN AVENUE,06/17/2018,2,1147406.592439224,1887689.099869462,41.847777523000005,-87.734505969,"(41.84777752280453, -87.73450596874825)"
55TH and PULASKI,2244.0,4000 W 55TH ST,06/17/2018,1,1150621.6769038609,1867864.274865394,41.793313334000004,-87.72322303799999,"(41.79331333358753, -87.72322303812588)"
CALIFORNIA AND DIVERSEY,1511.0,2800 N CALIFORNIA AVE,06/17/2018,13,1157189.355049829,1918495.6447540692,41.932120719000004,-87.6977653,"(41.93212071910647, -87.69776530036465)"
COLUMBUS AND ILLINOIS,1952.0,500 N COLUMBUS DRIVE,06/17/2018,4,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)"
CICERO AND WASHINGTON,1891.0,100 N CICERO AVENUE,06/17/2018,9,1144328.984091479,1900095.1708384592,41.88187971,-87.74548924700001,"(41.88187970991601, -87.7454892473012)"
LAFAYETTE AND 87TH,2502.0,8700 S LAFAYETTE AVEN,06/17/2018,19,1177417.493180297,1847243.988223464,41.73616511,-87.62558756899999,"(41.73616511008592, -87.62558756899932)"
KEDZIE AND 31ST,2134.0,3200 W 31ST STREET,06/17/2018,4,1155487.128005646,1883943.0611067931,41.8373395,-87.704950558,"(41.83733950029648, -87.70495055800411)"
OGDEN AND KOSTNER,2222.0,2348 S KOSTNER AVENUE,06/17/2018,6,1147394.548182079,1887795.1777820818,41.848068845,-87.734547457,"(41.8480688449598, -87.73454745748458)"
ROOSEVELT AND PULASKI,2311.0,1200 S PULASKI ROAD,06/17/2018,3,1149866.0022478641,1894375.839200384,41.866079336999995,-87.725305995,"(41.86607933722178, -87.7253059948758)"
WENTWORTH AND GARFIELD,2264.0,200 W GARFIELD BLVD,06/17/2018,6,1175889.574397302,1868551.750512227,41.794670385,-87.630547476,"(41.79467038468937, -87.63054747605638)"
IRVING PARK AND KILPATRICK,2763.0,4700 W IRVING PARK ROA,06/17/2018,9,,,,,
PULASKI AND ARMITAGE,1844.0,4000 W ARMITAGE AVENUE,06/17/2018,7,1149375.428872108,1913028.9842731808,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
KEDZIE AND 63RD,2364.0,3200 W 63RD ST,06/17/2018,6,1156103.348831225,1862717.5652107392,41.779081505,-87.703260365,"(41.77908150488341, -87.70326036544745)"
FULLERTON AND NARRAGANSETT,1554.0,6400 W FULLERTON AVENU,06/17/2018,4,1133317.594499059,1915293.661305931,41.923786189,-87.78556720600001,"(41.92378618871128, -87.78556720562165)"
AUSTIN AND IRVING PARK,1161.0,4000 N AUSTIN AVENUE,06/17/2018,4,1135599.956110927,1926006.8626199858,41.953144059,-87.776925284,"(41.95314405904539, -87.77692528423394)"
WESTERN AND MARQUETTE,2674.0,2400 W MARQUETTE ROAD,06/17/2018,6,1161509.889315231,1860208.6274041259,41.772086214,-87.683508858,"(41.772086214104526, -87.68350885781568)"
BELMONT AND KEDZIE,1372.0,3200 N KEDZIE AVE,06/17/2018,29,1154426.977874407,1921110.4665495418,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)"
PULASKI AND DIVISION,1802.0,1200 N PULASKI ROAD,06/17/2018,9,1149459.590666926,1907723.219884254,41.902713901999995,-87.72645145700001,"(41.902713901936174, -87.72645145715836)"
MICHIGAN AND ONTARIO,3082.0,628 N MICHIGAN AVE,06/17/2018,31,1177278.716938521,1904554.133997858,41.893432274,-87.624363719,"(41.893432274200684, -87.62436371928398)"
PULASKI AND LAWRENCE,1173.0,4000 W LAWRENCE AVENUE,06/17/2018,2,1148844.2200856009,1931638.45430438,41.968351285,-87.728091672,"(41.96835128527914, -87.72809167198088)"
ASHLAND AND FULLERTON,1651.0,2400 N ASHLAND AVENUE,06/17/2018,10,1165228.0733428379,1916032.319169157,41.92519389,-87.66829436299999,"(41.92519388981048, -87.66829436339881)"
BELMONT AND KEDZIE,1371.0,3200 N KEDZIE AVENUE,06/17/2018,1,1154426.977874407,1921110.4665495418,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)"
ELSTON AND LAWRENCE,1284.0,4440 W LAWRENCE AVENUE,06/17/2018,7,1145715.061027481,1931571.0474838002,41.968226398,-87.739599251,"(41.96822639754791, -87.73959925065756)"
PULASKI AND FULLERTON,1484.0,4000 W FULLERTON AVE,06/17/2018,7,1149303.081963737,1915695.2752226482,41.924593021999996,-87.72681926799999,"(41.92459302175305, -87.7268192684032)"
DAMEN AND 63RD,2701.0,6300 S DAMEN AVENUE,06/17/2018,1,1164069.4079432979,1862830.277442834,41.779226920999996,-87.674052731,"(41.77922692069256, -87.67405273137854)"
KOSTNER AND NORTH,2013.0,4400 W NORTH,06/17/2018,5,1146738.551618032,1910309.5953680319,41.909863573,-87.73638029600001,"(41.90986357340246, -87.73638029605371)"
MILWAUKEE AND CENTRAL,3022.0,5232 N MILWAUKEE AVE,06/17/2018,11,1138074.161743901,1934115.431678809,41.975350275,-87.767632985,"(41.97535027477604, -87.76763298459159)"
DAMEN AND 63RD,2702.0,6300 S DAMEN AVENUE,06/17/2018,3,1164069.4079432979,1862830.277442834,41.779226920999996,-87.674052731,"(41.77922692069256, -87.67405273137854)"
DAMEN AND ELSTON,3072.0,2426 N DAMEN AVE,06/17/2018,12,1162561.16172213,1916207.783017816,41.925731714,-87.678088896,"(41.925731713685686, -87.67808889622799)"
ELSTON AND LAWRENCE,1282.0,4800 N ELSTON AVENUE,06/17/2018,5,1145529.344259918,1931501.6012689832,41.968039361,-87.740283894,"(41.96803936143674, -87.74028389448999)"
HALSTED AND 95TH,2582.0,9500 S HALSTED STREET,06/17/2018,2,1172610.538363645,1841811.61926207,41.721365061,-87.643358042,"(41.72136506078306, -87.64335804234075)"
DIVERSEY AND AUSTIN,1454.0,6000 W DIVERSEY AVENUE,06/17/2018,2,1135895.7361693429,1918029.70673837,41.931248624,-87.776028612,"(41.931248623643455, -87.77602861172493)"
STONEY ISLAND AND 79TH,2464.0,1600 E 79TH ST,06/17/2018,11,1188284.704439907,1852964.829047574,41.751611523,-87.585592284,"(41.75161152327319, -87.58559228428787)"
STONY ISLAND/CORNELL AND 67TH,2721.0,6700 S STONY ISLAND A,06/17/2018,14,1187984.143047539,1860863.338367666,41.773292896,-87.586442368,"(41.77329289585066, -87.58644236831432)"
CALIFORNIA AND DIVERSEY,1513.0,2800 W DIVERSEY,06/17/2018,2,1157212.54253358,1918526.6744349431,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)"
31ST ST AND MARTIN LUTHER KING DRIVE,2123.0,400 E 31ST STREET,06/17/2018,4,1179437.985396417,1884565.84226022,41.838534018000004,-87.61704611299999,"(41.838534018118914, -87.61704611345726)"
LAWRENCE AND CICERO,1042.0,4800 N CICERO AVENUE,06/17/2018,17,1143464.651785526,1931490.5518832032,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)"
JEFFERY AND 95TH,2522.0,9500 S JEFFERY AVE,06/17/2018,7,1191132.420601301,1842335.735988875,41.722375907,-87.575499903,"(41.72237590704101, -87.57549990332795)"
WESTERN AND FOSTER,1074.0,2400 W FOSTER AVE,06/17/2018,15,1159379.402846887,1934502.7124861318,41.97600019,-87.689275084,"(41.97600018976586, -87.68927508385399)"
PULASKI AND IRVING PARK,1572.0,4000 N PULASKI ROAD,06/17/2018,4,1148970.255325552,1926313.600468643,41.953737051,-87.72776661200001,"(41.95373705144353, -87.72776661179896)"
ARCHER AND CICERO,2081.0,5200 S CICERO AVE,06/17/2018,18,1145195.9319897771,1869737.7083066232,41.798558278,-87.74307186600001,"(41.798558278193305, -87.74307186616427)"
ASHLAND AND 95TH,2473.0,1600 W 95TH STREET,06/17/2018,10,1167323.753394196,1841755.0292213818,41.721324412,-87.662724153,"(41.721324411975246, -87.66272415265087)"
4700 WESTERN,2141.0,4700 S WESTERN AVENUE,06/17/2018,3,1161120.438879703,1873431.066474726,41.808378408,-87.68457071700001,"(41.808378407946726, -87.68457071689552)"
KEDZIE AND ARMITAGE,1832.0,2000 N KEDZIE AVENUE,06/17/2018,3,1154684.031809326,1913129.496340896,41.917446172,-87.707116072,"(41.91744617191702, -87.70711607187832)"
CENTRAL AND ADDISON,1682.0,3600 N CENTRAL AVENUE,06/17/2018,3,1138343.117435682,1923392.067464765,41.945919491,-87.766904594,"(41.945919490555106, -87.76690459426293)"
SHERIDAN AND FOSTER,1134.0,1000 W FOSTER AVE,06/17/2018,6,1168689.247756979,1934758.5781416541,41.976505116,-87.655031882,"(41.97650511595711, -87.65503188224778)"
ROOSEVELT AND HALSTED,2233.0,800 W ROOSEVELT ROAD,06/17/2018,14,1171199.282357741,1894968.0563937242,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)"
WESTERN AND CHICAGO,1941.0,800 N WESTERN AVE,06/17/2018,5,1160220.9679786079,1905277.507115921,41.895786955,-87.68699058600001,"(41.89578695485361, -87.68699058611217)"
CENTRAL AND FULLERTON,1444.0,5600 W FULLERTON AVENU,06/17/2018,3,1138627.2791894209,1915438.969256439,41.924090199,-87.76605353,"(41.92409019883488, -87.76605353016079)"
CENTRAL AND IRVING PARK,1183.0,5600 W IRVING PARK ROAD,06/17/2018,2,1138281.535484986,1926078.647777633,41.953292847,-87.76706570799999,"(41.953292847298, -87.76706570775266)"
CICERO AND ADDISON,1612.0,3600 N CICERO AVENUE,06/17/2018,3,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)"
WESTERN AND FOSTER,1072.0,5200 N WESTERN AVE,06/17/2018,8,1159372.922497116,1934478.3136740031,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)"
63RD AND STATE,2714.0,1 E 63RD ST,06/17/2018,12,1177367.518733101,1863199.17768559,41.779949105,-87.62528955299999,"(41.779949104569106, -87.62528955333775)"
ASHLAND AND IRVING PARK,1151.0,4000 N ASHLAND AVENUE,06/17/2018,2,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)"
DIVERSEY AND WESTERN,1431.0,2800 N WESTERN AVENUE,06/17/2018,7,1159837.205417355,1918550.506189309,41.932216988,-87.688033281,"(41.93221698794738, -87.68803328089533)"
ASHLAND AND LAWRENCE,1142.0,4800 N ASHLAND AVENUE,06/17/2018,2,1164751.686785145,1932001.206626392,41.96902343,-87.669590434,"(41.969023429614026, -87.66959043354217)"
ROOSEVELT AND KOSTNER,2323.0,4400 W ROOSEVELT,06/17/2018,5,1147200.963258796,1894379.538078088,41.866140868,-87.73508956,"(41.866140867641654, -87.73508956008207)"
HOLLYWOOD AND SHERIDAN,1344.0,1000 W HOLLYWOOD AVE,06/17/2018,44,1168580.2289264658,1938090.295189338,41.985649799,-87.65533580700001,"(41.98564979859328, -87.65533580655139)"
AUSTIN AND IRVING PARK,1163.0,6000 W IRVING PARK ROAD,06/17/2018,3,1135622.402636023,1926014.192063646,41.953163771999996,-87.776842593,"(41.95316377185154, -87.77684259284736)"
RIDGE AND CLARK,1051.0,5930 N CLARK STREET,06/17/2018,2,1164554.784723473,1939388.5115164418,41.98929863,-87.67010412100001,"(41.98929863013193, -87.67010412112992)"
LAFAYETTE AND 87TH,2503.0,30 W 87TH STREET,06/17/2018,51,1177407.6518002371,1847320.7720583118,41.736376037,-87.625621311,"(41.736376036604916, -87.62562131092602)"
HAMLIN AND LAKE,1881.0,300 N HAMLIN AVENUE,06/17/2018,8,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
VAN BUREN AND WESTERN,2054.0,2400 W VAN BUREN STREE,06/17/2018,15,,,,,
MICHIGAN AND JACKSON,3043.0,100 E JACKSON BLVD,06/17/2018,1,1177358.4278512679,1899073.064228489,41.878390124,-87.624237311,"(41.87839012377354, -87.62423731128155)"
CALIFORNIA AND PETERSON,1311.0,6000 N CALIFORNIA AVE,06/17/2018,1,1156545.7426991179,1939775.775541795,41.990527717,-87.69955208399999,"(41.990527717148176, -87.69955208405155)"
79TH AND KEDZIE,2442.0,7900 S KEDZIE AVE,06/17/2018,1,1156378.39667768,1852021.3752815768,41.749723972,-87.702539572,"(41.749723971726056, -87.70253957167394)"
LARAMIE AND MADISON,2043.0,5200 W MADISON STREET,06/17/2018,6,1141706.965522802,1899567.55684314,41.880480752,-87.75513043299999,"(41.88048075170171, -87.75513043296509)"
IRVING PARK AND CALIFORNIA,1233.0,2800 W IRVING PARK ROA,06/17/2018,7,,,,,
MADISON AND WESTERN,1934.0,2400 W MADISON,06/17/2018,1,1160384.621277157,1899988.6557223732,41.881270504,-87.68653594,"(41.88127050428818, -87.68653594017124)"
FULLERTON AND NARRAGANSETT,1553.0,6400 W FULLERTON AVENU,06/17/2018,6,1133317.594499059,1915293.661305931,41.923786189,-87.78556720600001,"(41.92378618871128, -87.78556720562165)"
ASHLAND AND FULLERTON,1652.0,2400 N ASHLAND AVENUE,06/17/2018,18,1165228.0733428379,1916032.319169157,41.92519389,-87.66829436299999,"(41.92519388981048, -87.66829436339881)"
CENTRAL AND LAKE,1743.0,5600 W LAKE STREET,06/17/2018,4,1138951.495695032,1902230.5104657332,41.887838735,-87.76518366299999,"(41.887838735330206, -87.76518366338465)"
KEDZIE AND 71ST,2352.0,7100 S KEDZIE AVENUE,06/17/2018,10,1156225.540366296,1857330.103443232,41.764295037,-87.702957162,"(41.764295036756856, -87.70295716211793)"
CALIFORNIA AND DEVON,1323.0,2800 W DEVON AVENUE,06/17/2018,2,1156484.528078038,1942377.980662191,41.997669523,-87.699706423,"(41.99766952286052, -87.69970642324591)"
87TH AND VINCENNES,2413.0,848 W 87TH STREET,06/17/2018,17,1172002.531006759,1847197.326168367,41.736157546,-87.6454274,"(41.73615754630335, -87.64542740049411)"
ELSTON AND IRVING PARK,1503.0,3700 W IRVING PARK ROA,06/17/2018,10,,,,,
WESTERN AND FULLERTON,1672.0,2400 N WESTERN AVENUE,06/17/2018,1,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)"
PULASKI AND BELMONT,1383.0,4000 W BELMONT AVE,06/17/2018,3,1149131.866894851,1921018.50498026,41.93920375,-87.72731013399999,"(41.93920374986553, -87.72731013414392)"
55TH AND WESTERN,2212.0,5500 S WESTERN AVE,06/17/2018,6,1161269.521335262,1867963.111601251,41.793370554,-87.684175377,"(41.79337055433029, -87.6841753767592)"
PULASKI AND 63RD,2342.0,6300 S PULASKI RD,06/17/2018,5,1150746.00309079,1862516.747695325,41.778636469,-87.72290635600001,"(41.77863646878099, -87.72290635568541)"
FOSTER AND BROADWAY,1113.0,1200 W FOSTER AVE,06/17/2018,4,1167357.095930752,1934721.3932667768,41.97643192,-87.659931806,"(41.97643192018459, -87.65993180604016)"
119TH AND HALSTED,2404.0,800 W 119TH STREET,06/17/2018,9,1173111.174088158,1825985.001014405,41.677923389,-87.641989646,"(41.677923389134385, -87.64198964584013)"
79TH AND HALSTED,2543.0,800 W 79TH STREET,06/17/2018,2,1172320.105719411,1852517.9814433998,41.750751156999996,-87.64410779299999,"(41.75075115747316, -87.64410779300933)"
CICERO AND I55,2252.0,4200 S CICERO AVENUE,06/17/2018,3,1145023.742859509,1876358.2768355191,41.816729386999995,-87.74353671200001,"(41.81672938674739, -87.74353671247594)"
